Model: AlexNet_ReLU_L1
Learning Rate: 0.0001
Optimizer: Adam
Loss function: Cross Entropy
Number of Epochs: 30

Epoch: 1, Training Loss: 126.0604, Training Acc: 2.57%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 2, Training Loss: 41.6764, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 3, Training Loss: 10.7106, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 4, Training Loss: 4.6232, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 5, Training Loss: 4.1188, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 6, Training Loss: 4.0606, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 7, Training Loss: 4.0226, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 8, Training Loss: 3.9929, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 9, Training Loss: 3.9710, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 10, Training Loss: 3.9570, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 11, Training Loss: 3.9514, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 12, Training Loss: 3.9504, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 13, Training Loss: 3.9505, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 14, Training Loss: 3.9506, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 15, Training Loss: 3.9503, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 16, Training Loss: 3.9501, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 17, Training Loss: 3.9502, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 18, Training Loss: 3.9503, Training Acc: 3.18%, Testing Loss: 3.5835, Testing Acc: 2.79%
Epoch: 19, Training Loss: 3.9503, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 20, Training Loss: 3.9501, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 21, Training Loss: 3.9500, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 22, Training Loss: 3.9502, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 23, Training Loss: 3.9499, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 24, Training Loss: 3.9498, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 25, Training Loss: 3.9500, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 26, Training Loss: 3.9499, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 27, Training Loss: 3.9498, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 28, Training Loss: 3.9497, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 29, Training Loss: 3.9496, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
Epoch: 30, Training Loss: 3.9499, Training Acc: 3.18%, Testing Loss: 3.5836, Testing Acc: 2.79%
