AlexNet Model: AlexNet_WeightsInitialized
Learning Rate: 0.0001
Optimizer: Adam
Loss function: Cross Entropy
Batch Size: 64
Number of Epochs: 30
Image Size: 224
Number of Classes: 36

Epoch: 1, Training Loss: 3.381920, Training Acc: 6.23%, Testing Loss: 2.792137, Testing Acc: 18.38%
Epoch: 2, Training Loss: 2.782852, Training Acc: 17.11%, Testing Loss: 2.299423, Testing Acc: 28.41%
Epoch: 3, Training Loss: 2.530709, Training Acc: 23.05%, Testing Loss: 1.983611, Testing Acc: 36.77%
Epoch: 4, Training Loss: 2.321600, Training Acc: 28.48%, Testing Loss: 1.839858, Testing Acc: 39.00%
Epoch: 5, Training Loss: 2.186331, Training Acc: 32.01%, Testing Loss: 1.594596, Testing Acc: 49.30%
Epoch: 6, Training Loss: 2.089866, Training Acc: 34.83%, Testing Loss: 1.567646, Testing Acc: 52.37%
Epoch: 7, Training Loss: 1.960123, Training Acc: 38.88%, Testing Loss: 1.361607, Testing Acc: 56.82%
Epoch: 8, Training Loss: 1.889968, Training Acc: 42.09%, Testing Loss: 1.235795, Testing Acc: 60.72%
Epoch: 9, Training Loss: 1.806910, Training Acc: 45.26%, Testing Loss: 1.226961, Testing Acc: 61.84%
Epoch: 10, Training Loss: 1.683662, Training Acc: 48.73%, Testing Loss: 1.029467, Testing Acc: 71.59%
Epoch: 11, Training Loss: 1.580928, Training Acc: 51.24%, Testing Loss: 0.955616, Testing Acc: 73.54%
Epoch: 12, Training Loss: 1.517245, Training Acc: 52.30%, Testing Loss: 0.872146, Testing Acc: 77.16%
Epoch: 13, Training Loss: 1.448697, Training Acc: 55.15%, Testing Loss: 0.787498, Testing Acc: 77.16%
Epoch: 14, Training Loss: 1.379278, Training Acc: 56.82%, Testing Loss: 0.696853, Testing Acc: 80.22%
Epoch: 15, Training Loss: 1.239010, Training Acc: 61.12%, Testing Loss: 0.669907, Testing Acc: 82.45%
Epoch: 16, Training Loss: 1.189988, Training Acc: 62.38%, Testing Loss: 0.619017, Testing Acc: 84.68%
Epoch: 17, Training Loss: 1.110400, Training Acc: 64.56%, Testing Loss: 0.536635, Testing Acc: 85.79%
Epoch: 18, Training Loss: 1.042973, Training Acc: 66.90%, Testing Loss: 0.568324, Testing Acc: 85.79%
Epoch: 19, Training Loss: 0.984122, Training Acc: 67.77%, Testing Loss: 0.584852, Testing Acc: 83.29%
Epoch: 20, Training Loss: 0.963076, Training Acc: 69.31%, Testing Loss: 0.363118, Testing Acc: 91.09%
Epoch: 21, Training Loss: 0.819664, Training Acc: 73.26%, Testing Loss: 0.408122, Testing Acc: 88.58%
Epoch: 22, Training Loss: 0.790932, Training Acc: 74.35%, Testing Loss: 0.431255, Testing Acc: 88.58%
Epoch: 23, Training Loss: 0.757674, Training Acc: 74.74%, Testing Loss: 0.332011, Testing Acc: 91.36%
Epoch: 24, Training Loss: 0.634850, Training Acc: 78.01%, Testing Loss: 0.315359, Testing Acc: 93.87%
Epoch: 25, Training Loss: 0.661711, Training Acc: 78.14%, Testing Loss: 0.314338, Testing Acc: 92.20%
Epoch: 26, Training Loss: 0.604783, Training Acc: 81.03%, Testing Loss: 0.276916, Testing Acc: 93.87%
Epoch: 27, Training Loss: 0.489456, Training Acc: 83.37%, Testing Loss: 0.350383, Testing Acc: 91.09%
Epoch: 28, Training Loss: 0.498707, Training Acc: 83.56%, Testing Loss: 0.275369, Testing Acc: 93.04%
Epoch: 29, Training Loss: 0.414352, Training Acc: 86.45%, Testing Loss: 0.238308, Testing Acc: 94.71%
Epoch: 30, Training Loss: 0.402430, Training Acc: 87.16%, Testing Loss: 0.267148, Testing Acc: 93.59%
